PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,ID_CODE,AREA,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,WAVE,SUB_REG,INTSITE,MODE_F,MODE_FX,CATCH,CNTRBTRS,PARTY,FIRST,NUM_TYP4,NUM_TYP6,NUM_TYP2,NUM_TYP3,AREA_X,ON_LIST,CNTY,BOAT_HRS,NUM_TYP9,TELEFON,COASTAL,KOD,ASG_CODE,MODE_ASG,NEW_LIST,PRT_CODE,CELLTYPE,REGION,STRAT_INTERVAL,ZIP,MONTH,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,MODE2001,DIST,GEAR,TSN1,TSN2,PVT_RES,SEX,AGE,ART_REEF,ADD_PH,F_BY_P,SEP_FISH,DATE1,PRIM1,PRIM2,TURTLE,REEFCODE,AREA_NC,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,DATE_PUBLISHED
UNIDENTIFIED (SURFACE FISH),KINGFISH GENUS,2024011273weS:8AM-8PM,2024112731587720240114,2024,6,12,127,12,1587720240114001,1,1.50,,240,40,1,6,21,1,3,2,1,,,0,0,0,0,1,,127,,,,Y,we,1587720240114,1,,1587720240114001,,7,S:8AM-8PM,32127,01,,,VOLUSIA,938,0,1,1,169273,,,1,81,-1,2,8,8,02AUG24:11:17,8835440600,1000000003,,,,,,21228.871419,2024011273weS:8AM-8PM,,0,1587720240114001,05/05/2025
UNIDENTIFIED (SURFACE FISH),COMMON SNOOK,2024011273weS:8AM-8PM,2024112731587720240114,2024,6,12,127,12,1587720240114002,1,4.00,0.00,5,4,1,6,21,1,3,2,1,,,0,0,1,0,1,,127,,,,Y,we,1587720240114,1,,1587720240114002,1,7,S:8AM-8PM,33966,01,0,1,VOLUSIA,1053,0,1,1,167648,,,1,18,-1,2,8,8,02AUG24:11:17,8835010105,1000000003,,,,,,21228.871419,2024011273weS:8AM-8PM,,0,1587720240114002,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024011273weS:8AM-8PM,2024112731587720240114,2024,6,12,117,12,1587720240114003,1,4.00,0.00,25,3,1,6,21,1,3,1,1,,,0,0,0,1,1,,127,,,,Y,we,1587720240114,1,,1587720240114003,1,7,S:8AM-8PM,32750,01,1,0,SEMINOLE,1111,0,1,1,,,,1,42,-1,2,1,8,02AUG24:11:17,1000000003,1000000003,,,,,,3402.4128014,2024011273weS:8AM-8PM,,0,1587720240114003,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024011273weS:8AM-8PM,2024112731587720240114,2024,6,12,127,12,1587720240114004,1,4.00,,4,0,1,6,21,1,3,2,1,,,0,0,0,0,1,,127,,,,Y,we,1587720240114,1,,1587720240114004,,7,S:8AM-8PM,32713,01,,,VOLUSIA,1126,0,1,1,,,,1,51,-1,1,8,8,02AUG24:11:17,1000000003,1000000003,,,,,,3402.4128014,2024011273weS:8AM-8PM,,0,1587720240114004,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024011273weS:8AM-8PM,2024112731587720240114,2024,6,12,127,12,1587720240114005,1,4.00,,4,0,1,6,21,1,3,2,1,,,0,0,0,0,1,,127,,,,Y,we,1587720240114,1,,1587720240114005,,7,S:8AM-8PM,32713,01,,,VOLUSIA,1126,0,1,1,,,,1,41,-1,2,8,8,02AUG24:11:17,1000000003,1000000003,,,,,,3402.4128014,2024011273weS:8AM-8PM,,0,1587720240114005,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024011273weS:8AM-8PM,2024112731587720240114,2024,6,12,127,12,1587720240114006,1,4.00,,4,0,1,6,21,1,3,2,1,,,0,0,0,0,1,,127,,,,Y,we,1587720240114,1,,1587720240114006,,7,S:8AM-8PM,32713,01,,,VOLUSIA,1126,0,1,1,,,,1,38,-1,2,8,8,02AUG24:11:17,1000000003,1000000003,,,,,,3402.4128014,2024011273weS:8AM-8PM,,0,1587720240114006,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024011273weS:8AM-8PM,2024112731587720240114,2024,6,12,117,12,1587720240114007,1,3.00,0.00,3,2,1,6,21,1,3,2,1,,,0,0,2,0,1,,127,,,,Y,we,1587720240114,1,,1587720240114007,1,7,S:8AM-8PM,32773,01,,,SEMINOLE,1218,0,1,1,,,,1,37,-1,2,8,8,02AUG24:11:17,1000000003,1000000003,,,,,,3402.4128014,2024011273weS:8AM-8PM,,0,1587720240114007,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024011273weS:8AM-8PM,2024112731587720240114,2024,7,12,105,12,1587720240114008,1,3.00,0.00,25,5,1,6,21,1,3,2,1,,,0,0,1,0,1,,127,,,,O,we,1587720240114,1,,1587720240114008,1,7,S:8AM-8PM,33803,01,,,POLK,1218,0,1,1,,,,1,27,-1,1,8,8,02AUG24:11:17,1000000003,1000000003,,,,,,3402.4128014,2024011273weS:8AM-8PM,,0,1587720240114008,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024011273weS:8AM-8PM,2024112731587720240114,2024,0,26,15,12,1587720240114009,1,1.00,,3,3,1,6,21,1,3,2,1,,,0,0,0,0,1,,127,,,,O,we,1587720240114,1,,1587720240114009,,7,S:8AM-8PM,49344,01,,,,1315,0,1,1,,,,1,66,-1,2,8,8,02AUG24:11:17,1000000003,1000000003,,,,,,3402.4128014,2024011273weS:8AM-8PM,,0,1587720240114009,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024011273weS:8AM-8PM,2024112731587720240114,2024,0,26,15,12,1587720240114010,1,1.00,,3,3,1,6,21,1,3,2,1,,,0,0,0,0,1,,127,,,,O,we,1587720240114,1,,1587720240114010,,7,S:8AM-8PM,49344,01,,,,1315,0,1,1,,,,2,61,-1,2,8,8,02AUG24:11:17,1000000003,1000000003,,,,,,3402.4128014,2024011273weS:8AM-8PM,,0,1587720240114010,05/05/2025
