PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,ID_CODE,AREA,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,WAVE,SUB_REG,INTSITE,MODE_F,MODE_FX,CATCH,CNTRBTRS,PARTY,FIRST,NUM_TYP4,NUM_TYP6,NUM_TYP2,NUM_TYP3,AREA_X,ON_LIST,CNTY,BOAT_HRS,NUM_TYP9,TELEFON,COASTAL,KOD,NEW_LIST,ASG_CODE,MODE_ASG,PRT_CODE,CELLTYPE,REGION,STRAT_INTERVAL,ZIP,MONTH,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,MODE2001,DIST,GEAR,TSN1,TSN2,PVT_RES,SEX,AGE,ART_REEF,ADD_PH,F_BY_P,SEP_FISH,DATE1,PRIM1,PRIM2,TURTLE,REEFCODE,AREA_NC,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,DATE_PUBLISHED
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411913weS:8AM-8PM,202469131794720241102,2024,4,9,1,9,1794720241102001,C,0.50,0.00,1,0,6,4,646,5,3,2,1,,,0,0,0,0,5,,11,,,,Y,we,,1794720241102,1,1794720241102001,,1,S:8AM-8PM,06903,11,,,FAIRFIELD,1309,5,8,1,170479,,,,55,2,2,8,8,04MAR25:11:22,8839010101,1000000003,,,,,,23877.428483,202411913weS:8AM-8PM,,0,1794720241102001,05/05/2025
STRIPED BASS,TAUTOG,202411913wdS:8AM-8PM,202469131794720241107,2024,4,9,11,9,1794720241107001,C,1.00,,50,30,6,4,1777,1,3,2,1,,,0,0,0,0,5,,11,,,,Y,wd,,1794720241107,1,1794720241107001,,1,S:8AM-8PM,06384,11,,,NEW LONDON,1120,0,8,1,170479,167680,,,52,2,1,8,8,04MAR25:11:22,8839010101,8835020102,,,,,,7848.6593525,202411913wdS:8AM-8PM,,0,1794720241107001,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),202411913weS:8AM-8PM,202469131794720241117,2024,4,9,5,9,1794720241117001,C,3.00,,4,2,6,4,1777,1,3,2,1,,,0,0,0,0,5,,11,,,,Y,we,,1794720241117,1,1794720241117001,,1,S:8AM-8PM,06790,11,,,LITCHFIELD,1051,0,8,1,,,,,51,2,1,8,8,04MAR25:11:22,1000000003,1000000003,,,,,,26683.699297,202411913weS:8AM-8PM,,0,1794720241117001,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),202411913weS:8AM-8PM,202469131794720241117,2024,4,9,9,9,1794720241117002,C,3.00,,4,2,6,4,1777,1,3,2,1,,,0,0,0,0,5,,11,,,,Y,we,,1794720241117,1,1794720241117002,,1,S:8AM-8PM,06450,11,,,NEW HAVEN,1051,0,8,1,,,,,43,2,2,8,8,04MAR25:11:22,1000000003,1000000003,,,,,,26683.699297,202411913weS:8AM-8PM,,0,1794720241117002,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),202411913weS:8AM-8PM,202469131794720241117,2024,4,9,9,9,1794720241117003,C,3.00,,4,2,6,4,1777,1,3,2,1,,,0,0,0,0,5,,11,,,,Y,we,,1794720241117,1,1794720241117003,,1,S:8AM-8PM,06450,11,,,NEW HAVEN,1051,0,8,1,,,,,14,2,2,8,8,04MAR25:11:22,1000000003,1000000003,,,,,,26683.699297,202411913weS:8AM-8PM,,0,1794720241117003,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),202411913weS:8AM-8PM,202469131794720241117,2024,4,9,9,9,1794720241117004,C,3.00,,4,2,6,4,1777,1,3,2,1,,,0,0,0,0,5,,11,,,,Y,we,,1794720241117,1,1794720241117004,,1,S:8AM-8PM,06450,11,,,NEW HAVEN,1051,0,8,1,,,,,43,2,2,8,8,04MAR25:11:22,1000000003,1000000003,,,,,,26683.699297,202411913weS:8AM-8PM,,0,1794720241117004,05/05/2025
BLUEFISH,STRIPED BASS,202411913wdS:8AM-8PM,202469131794720241120,2024,4,9,11,9,1794720241120001,C,1.00,,4,2,6,4,1777,1,3,2,1,,,0,0,0,0,5,,11,,,,Y,wd,,1794720241120,1,1794720241120001,,1,S:8AM-8PM,06371,11,,,NEW LONDON,1513,0,8,1,167680,168559,,,71,2,1,8,8,04MAR25:11:22,8835020102,8835250101,,,,,,3510.281299,202411913wdS:8AM-8PM,,0,1794720241120001,05/05/2025
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411913weS:8AM-8PM,202469131796320241101,2024,4,9,11,9,1796320241101001,C,2.50,0.00,14,14,6,4,1777,1,3,2,1,,,0,0,1,0,5,,11,,,,Y,we,,1796320241101,1,1796320241101001,1,1,S:8AM-8PM,06333,11,,,NEW LONDON,950,0,8,1,170479,,,,25,2,1,8,8,04MAR25:11:22,8839010101,1000000003,,,,,,28801.453209,202411913weS:8AM-8PM,,0,1796320241101001,05/05/2025
UNIDENTIFIED (SURFACE FISH),STRIPED BASS,202412913wdS:8AM-8PM,202469131820220241202,2024,4,9,7,9,1820220241202001,C,0.50,,120,40,6,4,604,1,3,2,1,,,0,0,0,0,5,,11,,,,Y,wd,,1820220241202,1,1820220241202001,,1,S:8AM-8PM,06426,12,,,MIDDLESEX,1323,0,8,1,167680,,,,74,2,2,8,8,04MAR25:11:22,8835020102,1000000003,,,,,,5031.4080807,202412913wdS:8AM-8PM,,0,1820220241202001,05/05/2025
,,202499904xx,20246904,2024,,,,9,20246498499xx002,,,,,,6,4,,,4,,,,,,,,,2,,,,,,,xx,,,,20246498499xx002,,0,,,99,,,,,,,,,,,,,,,,,,,,,,,,,843.59720907,,,0,20246498499xx002,05/05/2025
,,202499905xx,20246905,2024,,,,9,20246498599xx001,,,,,,6,4,,,5,,,,,,,,,1,,,,,,,xx,,,,20246498599xx001,,0,,,99,,,,,,,,,,,,,,,,,,,,,,,,,21.09240894,,,0,20246498599xx001,05/05/2025
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411915weS:8AM-8PM,202469151794720241102,2024,4,9,3,9,1794720241102002,C,5.50,0.00,0,0,6,4,638,7,5,2,1,5,1,0,0,4,0,5,1,11,7.50,,,Y,we,1,1794720241102,1,1794720241102002,1,1,S:8AM-8PM,06016,11,0,3,HARTFORD,1427,7,8,1,170479,,,,31,2,2,8,8,04MAR25:11:22,8839010101,1000000003,,,,,,5.7652584437,202411915weS:8AM-8PM,,0,1794720241102002,05/05/2025
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411915weS:8AM-8PM,202469151794720241102,2024,4,9,13,9,1794720241102003,C,5.50,0.00,3,0,6,4,638,7,5,2,1,5,2,0,1,4,0,5,1,11,7.50,,,Y,we,1,1794720241102,1,1794720241102002,1,1,S:8AM-8PM,06076,11,0,3,TOLLAND,1427,7,8,1,170479,,,,27,2,1,8,8,04MAR25:11:22,8839010101,1000000003,,,,,,5.7652584437,202411915weS:8AM-8PM,,0,1794720241102003,05/05/2025
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411915weS:8AM-8PM,202469151794720241102,2024,4,9,3,9,1794720241102004,C,5.50,0.00,2,0,6,4,638,7,5,2,1,5,2,0,1,4,0,5,1,11,7.50,,,Y,we,1,1794720241102,1,1794720241102002,1,1,S:8AM-8PM,06016,11,0,3,HARTFORD,1427,7,8,1,170479,,,,31,2,2,8,8,04MAR25:11:22,8839010101,1000000003,,,,,,5.7652584437,202411915weS:8AM-8PM,,0,1794720241102004,05/05/2025
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411915weS:8AM-8PM,202469151794720241102,2024,4,9,3,9,1794720241102005,C,5.50,0.00,2,0,6,4,638,7,5,2,1,5,2,0,1,4,0,5,1,11,7.50,,,Y,we,1,1794720241102,1,1794720241102002,1,1,S:8AM-8PM,06016,11,0,4,HARTFORD,1427,7,8,1,170479,,,,28,2,2,8,8,04MAR25:11:22,8839010101,1000000003,,,,,,5.7652584437,202411915weS:8AM-8PM,,0,1794720241102005,05/05/2025
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411915weS:8AM-8PM,202469151794720241102,2024,4,9,3,9,1794720241102006,C,5.50,0.00,2,0,6,4,638,7,5,2,1,5,2,0,1,3,0,5,1,11,7.50,,,Y,we,1,1794720241102,1,1794720241102002,1,1,S:8AM-8PM,06016,11,0,3,HARTFORD,1427,7,8,1,170479,,,,61,2,2,8,8,04MAR25:11:22,8839010101,1000000003,,,,,,5.7652584437,202411915weS:8AM-8PM,,0,1794720241102006,05/05/2025
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411915weS:8AM-8PM,202469151794720241102,2024,4,9,11,9,1794720241102007,C,5.00,0.00,0,0,6,4,638,7,5,2,1,5,1,0,0,4,0,5,1,11,7.00,,,Y,we,1,1794720241102,1,1794720241102007,1,1,S:8AM-8PM,06384,11,0,1,NEW LONDON,1454,7,8,1,170479,,,,38,2,2,8,8,04MAR25:11:22,8839010101,1000000003,,,,,,5.7652584437,202411915weS:8AM-8PM,,0,1794720241102007,05/05/2025
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411915weS:8AM-8PM,202469151794720241102,2024,4,9,15,9,1794720241102008,C,5.00,0.00,2,0,6,4,638,7,5,2,1,5,2,0,1,4,0,5,1,11,7.00,,,Y,we,1,1794720241102,1,1794720241102007,1,1,S:8AM-8PM,06331,11,0,1,WINDHAM,1454,7,8,1,170479,,,,44,2,2,8,8,04MAR25:11:22,8839010101,1000000003,,,,,,5.7652584437,202411915weS:8AM-8PM,,0,1794720241102008,05/05/2025
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411915weS:8AM-8PM,202469151794720241102,2024,4,9,15,9,1794720241102009,C,5.00,0.00,0,0,6,4,638,7,5,2,1,5,2,0,1,4,0,5,1,11,7.00,,,Y,we,1,1794720241102,1,1794720241102007,1,1,S:8AM-8PM,06331,11,0,1,WINDHAM,1454,7,8,1,170479,,,,46,2,2,8,8,04MAR25:11:22,8839010101,1000000003,,,,,,5.7652584437,202411915weS:8AM-8PM,,0,1794720241102009,05/05/2025
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411915weS:8AM-8PM,202469151794720241102,2024,4,9,11,9,1794720241102010,C,5.00,0.00,0,0,6,4,638,7,5,2,1,5,2,0,1,4,0,5,1,11,7.00,,,Y,we,1,1794720241102,1,1794720241102007,1,1,S:8AM-8PM,06355,11,0,1,NEW LONDON,1454,7,8,1,170479,,,,43,2,2,8,8,04MAR25:11:22,8839010101,1000000003,,,,,,5.7652584437,202411915weS:8AM-8PM,,0,1794720241102010,05/05/2025
